"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"plasma waves","3","3","GCMD | Global Change Master Directory (GCMD) | SPASE Dictionary","Self-consistent collective oscillations ofparticles and fields (electric and magnetic) in a plasma. ;; A plasma is a gas containing ions, electrons, and a magnetic field, and therefore capable of conducting electric currents. A plasma wave is a set of particles under the influence of electromagnetic fields, exhibiting wave-like motions with amplitude and periodicity. ;; A plasma is a gas containing ions, electrons, and a magnetic field, andtherefore capable of conducting electric currents. A plasma wave is a set of particles under theinfluence of electromagnetic fields, exhibiting wave-like motions withamplitude and periodicity.","['PlasmaWaves', 'PLASMA WAVES', 'EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> IONOSPHERE/MAGNETOSPHERE DYNAMICS -> PLASMA WAVES']"
"storm surge","3","3","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","A rise above normal sea level on the coast where the Ekman effect, from strong winds, causes the shallow waters to pile up against the shore. ;; A rise above normal sea level on the coast where the Ekman effect, fromstrong winds, causes the shallow waters to pile up against the shore. ;; A phenomena wherein sea level rises above the normal tide level whenhurricanes or tropical storms move from the ocean along or across acoastal region. This sea level rise can consists of three components, thefirst of which results from low barometric pressure, i.e. the so-calledinverse barometer effect, where lower atmospheric pressure on the surfaceof the water allows it to rise. The second component is wind set-up wherethe winds drag surface","['storm surge', 'STORM SURGE', 'EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> STORM SURGE', 'EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> STORM SURGE']"
"ecological dynamics","3","1","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","Describes coupled dynamics of human-ecological systems","['ecological dynamics', 'ECOLOGICAL DYNAMICS', 'EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS']"
"plasma wave","3","1","HELIO Ontology | SWEET | Semantic Web for Earth and Environment Technology Ontology","Self-consistent collective oscillations of particles and fields (electric and magnetic) in a plasma.","['PlasmaWave', 'plasma wave', 'Oscillation -> wave -> plasma wave']"
"alfven wave","3","1","SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary","A transverse wave in magnetized plasma characterized by a change of direction of the magnetic field (rather than a change of intensity).","['alfven wave', 'Alfven wave', 'Oscillation -> wave -> plasma wave -> alfven wave']"
"physical process","3","1","GEMET | SWEET | Semantic Web for Earth and Environment Technology Ontology","A continuous action or series of changes which alters the material form of matter.","['physical process', 'Process -> physical process']"
"photosynthetically active radiation","3","2","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","Photosynthetically Active Radiation is the light in the whole wavelength band from 400 nm (deep violet) to 700 nm (dark red) used by plants in photosynthesis. ;; Photosynthetically Active Radiation is the light in the whole wavelengthband from 400 nm (deep violet) to 700 nm (dark red) used by plantsin photosynthesis.","['photosynthetically active radiation', 'PHOTOSYNTHETICALLY ACTIVE RADIATION', 'EARTH SCIENCE -> BIOSPHERE -> VEGETATION -> PHOTOSYNTHETICALLY ACTIVE RADIATION', 'EARTH SCIENCE -> OCEANS -> OCEAN OPTICS -> PHOTOSYNTHETICALLY ACTIVE RADIATION']"
"heating","3","1","GEMET | SWEET | Semantic Web for Earth and Environment Technology Ontology","A system for supplying heat, especially central heating, to a building.","['heating', 'Process -> physical process -> thermal process -> heating']"
"solar oscillations","3","2","GCMD | Global Change Master Directory (GCMD) | Unified Astronomy Thesaurus (UAT)","The surface of the sun oscillates in certain modes defined by the number¿of latitudinal and longitudinal modal planes. The sun vibrates in¿multiple modes simultaneously, each mode typically having a different¿amplitude. Observing the amplitudes of the various solar oscillation¿modes is a way to look inside the sun. A commonly observed phenomena is the¿5-minute oscillation, but other periods have been observed from 10 to 160¿minutes on the long period scale to about 10 seconds on the short period¿scale. Also observed are so-called g-mode oscillations (internal gravity¿waves) generated by turbulent convection below the photosphere.¿These oscillations are the result of internal motions of the sun and their study is known as helioseismology. ;; The surface of the sun oscillates in certain modes defined by the number¿of latitudinal and longitudinal modal planes. The sun vibrates in¿multiple modes simultaneously, each mode typically having a different¿amplitude. Observing the amplitudes of the various solar oscillation¿modes is a way to look inside the sun. A commonly observed phenomena is the¿'5-minute' oscillation, but other periods have been observed from 10 to 160¿minutes on the long period scale to about 10 seconds on the short period¿scale. Also observed are so-called 'g-mode' oscillations (internal gravity¿waves) generated by turbulent convection below the photosphere.¿These oscillations are the result of internal motions ofthe sun and their study is known as helioseismology.","['Solar oscillations', 'SOLAR OSCILLATIONS', 'EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> SOLAR ACTIVITY -> SOLAR OSCILLATIONS']"
"van allen radiation belts","3","1","Global Change Master Directory (GCMD) | Space Weather Glossary (Second) | Unified Astronomy Thesaurus (UAT)","The ring-shaped regions of charged particles surrounding the Earth from 1 to 6 Earth radii into space. The charged particles are trapped in by the Earth's magnetic field. The inner belt is between 1.2 and 4.5 Earth radii and contains high-energy electrons and protons which originate mainly from interactions between cosmic rays and the upper atmosphere. The outer belt, located between 4.5 and 6.0 Earth radii, contains lower-energy charged particles mainly coming from the solar wind.","['Van Allen Radiation Belts', 'Van Allen radiation belts', 'VAN ALLEN RADIATION BELTS']"
"shock","3","1","SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary","A discontinuity in pressure, density, and particle velocity, propagating through a compressible fluid or plasma.","['shock', 'Discontinuity -> shock | SystemStateChange -> shock']"
"event","3","1","Global Change Master Directory (GCMD) | SPASE Dictionary | Semantic Web for Earth and Environment Technology Ontology","An action or observation which occurs at apoint in time.","['event', 'Event']"
"shock wave","3","0","SWEET | Semantic Web for Earth and Environment Technology Ontology | Space Weather Glossary (Second)","","['shock wave', 'Shock Wave', 'Oscillation -> wave -> shock wave']"
"radiation","3","1","GEMET | SWEET | Semantic Web for Earth and Environment Technology Ontology","Emission of any rays from either natural or man-made origins, such as radio waves, the sun's rays, medical X-rays and the fall-out and nuclear wastes produced by nuclear weapons and nuclear energy production. Radiation is usually divided between non-ionizing radiation, such as thermal radiation (heat) and light, and nuclear radiation. Non-ionizing radiation includes ultraviolet radiation from the sun which, although it can damage cells and tissues, does not involve the ionization events of nuclear radiation.","['radiation', 'Process -> physical process -> radiative transfer -> radiation']"
"radiation belt","3","1","HELIO Ontology | SPASE Dictionary | Semantic Web for Earth and Environment Technology Ontology","The region within a magnetosphere wherehigh-energy particles could potentially be trapped in a magnetic field.","['RadiationBelt', 'radiation belt']"
"coastal processes","3","4","AGU Index Terms | GCMD | Global Change Master Directory (GCMD)","Scientific field of study of the land environment immediately affected by marine processes. Includes variables pertaining to both coastal features and the processes that affect them. ;; Coastal processes refers to the action of natural forces (e.g., erosion, deposition, tectonic uplift) on the shoreline, and the nearshore seabed. Some examples of landforms resulting from these processes arewave-cut cliffs, beaches, and wave-cut benches. ;; Coastal processes refers to the action of natural forces (e.g. erosion, deposition, tectonic uplift) on the shoreline, and the nearshore seabed. Some examples of landforms resulting from these processes are wave-cut cliffs, beaches, and wave-cut benches. ;; Scientific field of study of the land environment immediately affectedby marine processes. Includes variables pertaining to both coastalfeatures and the processes that affect them.","['Coastal processes', 'COASTAL PROCESSES', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES', 'EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES']"
"trophic dynamics","3","2","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","Trophic dynamics are major interactions among organisms which involve feeding relationships. The feeding levels are called trophic levels where all producers belong to the first trophic level; all primary consumers (in other words, all herbivores), whether feeding on living or dead producers, belong to the second trophic level; organisms feeding on these herbivores belong to the third level, and so on. ;; Trophic dynamics are major interactions among organisms which involvefeeding relationships. The feeding levels are called trophic levelswhere all producers belong to the first trophic level; all primaryconsumers (in other words, all herbivores), whether feeding on living ordead producers, belong to the second trophic level; organisms feeding onthese herbivores belong to the third level, and so on.","['trophic dynamics', 'TROPHIC DYNAMICS', 'EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> ECOSYSTEM FUNCTIONS -> TROPHIC DYNAMICS']"
"arctic oscillation","3","1","GCMD | Global Change Master Directory (GCMD) | Semantic Web for Earth and Environment Technology Ontology","The Arctic Oscillation (AO) is the dominant pattern of non-seasonal sea-level pressure (SLP) variations north of 20N, and it is characterized by SLP anomalies of one sign in the Arctic and anomalies of opposite sign centered about 37-45N. Additional information is available for the Arctic Oscillation (AO) and for the North Atlantic Oscillation (NAO), a close relative of the AO (http://jisao.washington.edu/ao/)","['arctic oscillation', 'ARCTIC OSCILLATION', 'EARTH SCIENCE -> CLIMATE INDICATORS -> ATMOSPHERIC/OCEAN INDICATORS -> TELECONNECTIONS -> ARCTIC OSCILLATION']"
