term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs
oceanic structures,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanic structures,
oceanic transform and fracture zone processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanic transform and fracture zone processes,
oceanography: biological and chemical,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanography: biological and chemical,
oceanography: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanography: general,
oceanography: physical,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oceanography: physical,
ontologies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ontologies,
ophiolites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ophiolites,
"optical, infrared, and raman spectroscopy",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"optical, infrared, and raman spectroscopy",
optics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,optics,
orbital and rotational dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,orbital and rotational dynamics,
ordovician,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ordovician,
organic and biogenic geochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,organic and biogenic geochemistry,
origin and evolution,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,origin and evolution,
origin of life,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,origin of life,
overflows,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,overflows,
overland flow,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,overland flow,
oxidation/reduction reactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,oxidation/reduction reactions,
pacific ocean,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pacific ocean,
paleoceanography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleoceanography,
paleocene/eocene thermal maximum,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleocene/eocene thermal maximum,
paleoclimatology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleoclimatology,
paleoclimatology and paleoceanography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleoclimatology and paleoceanography,
paleoecology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleoecology,
paleogene,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleogene,
paleointensity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleointensity,
paleomagnetic secular variation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleomagnetic secular variation,
paleomagnetism applied to geologic processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleomagnetism applied to geologic processes,
"paleomagnetism applied to tectonics: regional, global",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"paleomagnetism applied to tectonics: regional, global",
paleoseismology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleoseismology,
paleozoic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,paleozoic,
palynology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,palynology,
parametric processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,parametric processes,
particle acceleration,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,particle acceleration,
particle precipitation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,particle precipitation,
pattern formation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pattern formation,
"permafrost, cryosphere, and high-latitude processes",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"permafrost, cryosphere, and high-latitude processes",
permeability and porosity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,permeability and porosity,
permian,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,permian,
"persistence, memory, correlations, clustering",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"persistence, memory, correlations, clustering",
"petrography, microstructures, and textures",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"petrography, microstructures, and textures",
phase transitions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,phase transitions,
physical and biogeochemical interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physical and biogeochemical interactions,
physical and chemical properties of seawater,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physical and chemical properties of seawater,
physical modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physical modeling,
physical properties of materials,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physical properties of materials,
physical properties of rocks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physical properties of rocks,
physical thermodynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physical thermodynamics,
physics and chemistry of magma bodies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physics and chemistry of magma bodies,
physics and chemistry of materials,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physics and chemistry of materials,
physics of magma and magma bodies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,physics of magma and magma bodies,
pickup ions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pickup ions,
planetary and lunar geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary and lunar geochronology,
planetary atmospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary atmospheres,
"planetary atmospheres, clouds, and hazes",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"planetary atmospheres, clouds, and hazes",
planetary bow shocks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary bow shocks,
planetary geochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary geochemistry,
planetary interiors,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary interiors,
planetary ionospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary ionospheres,
planetary magnetism: all frequencies and wavelengths,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary magnetism: all frequencies and wavelengths,
planetary magnetospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary magnetospheres,
planetary meteorology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary meteorology,
planetary mineralogy and petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary mineralogy and petrology,
planetary rings,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary rings,
planetary sciences: astrobiology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary sciences: astrobiology,
planetary sciences: comets and small bodies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary sciences: comets and small bodies,
planetary sciences: fluid planets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary sciences: fluid planets,
planetary sciences: solar system objects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary sciences: solar system objects,
planetary sciences: solid surface planets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary sciences: solid surface planets,
planetary tectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary tectonics,
planetary volcanism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary volcanism,
planetary waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetary waves,
planetology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,planetology,
plant uptake,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plant uptake,
plasma and mhd instabilities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma and mhd instabilities,
plasma convection,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma convection,
plasma energization,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma energization,
plasma interactions with dust and aerosols,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma interactions with dust and aerosols,
plasma temperature and density,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma temperature and density,
plasma waves and instabilities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma waves and instabilities,
plasma waves and turbulence,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasma waves and turbulence,
plasmas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plasmas,
"plasticity, diffusion, and creep",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"plasticity, diffusion, and creep",
plate boundary: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plate boundary: general,
plate motions: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plate motions: general,
plate motions: past,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plate motions: past,
plate motions: present and recent,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,plate motions: present and recent,
pluto and satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pluto and satellites,
pluton emplacement,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pluton emplacement,
polar cap ionosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,polar cap ionosphere,
polar cap phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,polar cap phenomena,
polar meteorology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,polar meteorology,
polar regions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,polar regions,
policy sciences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,policy sciences,
pollution: urban and regional,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pollution: urban and regional,
"pollution: urban, regional and global",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"pollution: urban, regional and global",
polynas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,polynas,
ponds,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ponds,
population dynamics and ecology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,population dynamics and ecology,
portals and user interfaces,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,portals and user interfaces,
post-secondary education,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,post-secondary education,
precambrian,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,precambrian,
precipitation-radar,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,precipitation-radar,
precursors,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,precursors,
prediction,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,prediction,
preparedness and planning,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,preparedness and planning,
"pressure, density, and temperature",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"pressure, density, and temperature",
pressure-temperature-time paths,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,pressure-temperature-time paths,
probabilistic forecasting,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,probabilistic forecasting,
"probability distributions, heavy and fat-tailed",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"probability distributions, heavy and fat-tailed",
project evaluation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,project evaluation,
prominence eruptions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,prominence eruptions,
properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,properties,
proterozoic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,proterozoic,
psychology of disasters,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,psychology of disasters,
public issues,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,public issues,
quaternary geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,quaternary geochronology,
"query languages for science, markup languages, ontologies",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"query languages for science, markup languages, ontologies",
radar astronomy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radar astronomy,
radar atmospheric physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radar atmospheric physics,
radiation and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radiation and chemistry,
radiation processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radiation processes,
radiation: transmission and scattering,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radiation: transmission and scattering,
radiative processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radiative processes,
radio astronomy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radio astronomy,
radio emissions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radio emissions,
radio oceanography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radio oceanography,
radio science,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radio science,
radio wave propagation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radio wave propagation,
radioactivity and radioisotopes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radioactivity and radioisotopes,
radioactivity methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radioactivity methods,
radiogenic isotope geochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radiogenic isotope geochemistry,
radioisotope geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,radioisotope geochronology,
random media and rough surfaces,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,random media and rough surfaces,
rapid time variations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rapid time variations,
reactions and phase equilibria,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,reactions and phase equilibria,
real-time and responsive information delivery,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,real-time and responsive information delivery,
recovery and reconstruction after disaster,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,recovery and reconstruction after disaster,
"reference fields: regional, global",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"reference fields: regional, global",
reference systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,reference systems,
reflectors and feeds,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,reflectors and feeds,
regional climate change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,regional climate change,
regional crustal structure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,regional crustal structure,
regional modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,regional modeling,
remagnetization,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,remagnetization,
remote sensing and disasters,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,remote sensing and disasters,
remote sensing and electromagnetic processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,remote sensing and electromagnetic processes,
remote sensing of volcanoes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,remote sensing of volcanoes,
renormalization group methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,renormalization group methods,
reservoirs,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,reservoirs,
"reversals: process, timescale, magnetostratigraphy",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"reversals: process, timescale, magnetostratigraphy",
rheology and friction of fault zones,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rheology and friction of fault zones,
rheology of the lithosphere and mantle,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rheology of the lithosphere and mantle,
rheology: crust and lithosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rheology: crust and lithosphere,
rheology: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rheology: general,
rheology: mantle,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rheology: mantle,
rings and dust,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rings and dust,
riparian systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,riparian systems,
river channels,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,river channels,
rivers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rivers,
rock and mineral magnetism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rock and mineral magnetism,
rocks: chemical properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rocks: chemical properties,
rocks: physical properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rocks: physical properties,
role of fluids,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,role of fluids,
rules and logic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,rules and logic,
satellite drag,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,satellite drag,
satellite geodesy: results,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,satellite geodesy: results,
satellite geodesy: technical issues,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,satellite geodesy: technical issues,
"satellite magnetics: main field, crustal field, external field",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"satellite magnetics: main field, crustal field, external field",
saturnian satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,saturnian satellites,
scaling: spatial and temporal,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,scaling: spatial and temporal,
scattering and diffraction,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,scattering and diffraction,
science policy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,science policy,
scientific reasoning/inference,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,scientific reasoning/inference,
sea level: variations and mean,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sea level: variations and mean,
"seafloor morphology, geology, and geophysics",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"seafloor morphology, geology, and geophysics",
sedimentary basin processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sedimentary basin processes,
sedimentary geochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sedimentary geochemistry,
sedimentary geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sedimentary geochronology,
sedimentary petrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sedimentary petrology,
seismic cycle related deformations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,seismic cycle related deformations,
seismic instruments and networks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,seismic instruments and networks,
seismic methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,seismic methods,
seismic monitoring and test-ban treaty verification,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,seismic monitoring and test-ban treaty verification,
seismicity and tectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,seismicity and tectonics,
seismology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,seismology,
self-organization,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,self-organization,
self-organized criticality,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,self-organized criticality,
semantic web and semantic integration,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,semantic web and semantic integration,
sensor web,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sensor web,
shock wave experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,shock wave experiments,
shock waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,shock waves,
sidereal geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sidereal geochronology,
signal processing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,signal processing,
signal processing and adaptive antennas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,signal processing and adaptive antennas,
silurian,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,silurian,
singularity expansion method,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,singularity expansion method,
snow and ice,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,snow and ice,
snowmelt,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,snowmelt,
social networks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,social networks,
sociology of disasters,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sociology of disasters,
software re-use,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,software re-use,
software tools and services,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,software tools and services,
soils/pedology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,soils/pedology,
solar activity cycle,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar activity cycle,
solar and stellar variability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar and stellar variability,
solar cycle variations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar cycle variations,
solar effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar effects,
"solar physics, astrophysics, and astronomy",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"solar physics, astrophysics, and astronomy",
solar radiation and cosmic ray effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar radiation and cosmic ray effects,
solar variability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar variability,
solar wind interactions with unmagnetized bodies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar wind interactions with unmagnetized bodies,
solar wind plasma,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar wind plasma,
solar wind sources,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar wind sources,
solar wind/magnetosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar wind/magnetosphere interactions,
solar/planetary relationships,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solar/planetary relationships,
solitons and solitary waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,solitons and solitary waves,
sorptive scavenging,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sorptive scavenging,
space and satellite communication,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,space and satellite communication,
space geodetic surveys,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,space geodetic surveys,
space plasma physics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,space plasma physics,
space radiation environment,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,space radiation environment,
"spacecraft sheaths, wakes, charging",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"spacecraft sheaths, wakes, charging",
spacecraft/atmosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spacecraft/atmosphere interactions,
spatial analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spatial analysis,
spatial analysis and representation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spatial analysis and representation,
spatial decision support systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spatial decision support systems,
spatial modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spatial modeling,
spatial variations attributed to seafloor spreading,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spatial variations attributed to seafloor spreading,
spatial variations: all harmonics and anomalies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spatial variations: all harmonics and anomalies,
spectral analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,spectral analysis,
stable isotope geochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stable isotope geochemistry,
stadial,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stadial,
standards,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,standards,
standards and absolute measurements,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,standards and absolute measurements,
statistical methods: descriptive,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,statistical methods: descriptive,
statistical methods: inferential,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,statistical methods: inferential,
stellar astronomy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stellar astronomy,
stellar interiors and dynamo theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stellar interiors and dynamo theory,
stochastic hydrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stochastic hydrology,
stochastic phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stochastic phenomena,
stochastic processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stochastic processes,
stratosphere/troposphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stratosphere/troposphere interactions,
stratospheric dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stratospheric dynamics,
streamflow,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,streamflow,
stresses: crust and lithosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stresses: crust and lithosphere,
stresses: deep-seated,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stresses: deep-seated,
stresses: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,stresses: general,
structural geology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,structural geology,
subaqueous volcanism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,subaqueous volcanism,
subduction zone processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,subduction zone processes,
subduction zones,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,subduction zones,
subgrid-scale,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,subgrid-scale,
submarine landslides,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,submarine landslides,
submarine tectonics and volcanism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,submarine tectonics and volcanism,
"submergence instruments: rov, auv, submersibles",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"submergence instruments: rov, auv, submersibles",
substorms,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,substorms,
sulfur cycling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,sulfur cycling,
surface materials and properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,surface materials and properties,
surface water quality,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,surface water quality,
surface waves and free oscillations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,surface waves and free oscillations,
surface waves and tides,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,surface waves and tides,
surfaces,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,surfaces,
surfaces and interfaces,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,surfaces and interfaces,
synoptic-scale meteorology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,synoptic-scale meteorology,
system design,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,system design,
system operation and management,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,system operation and management,
teacher training,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,teacher training,
teaching methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,teaching methods,
techniques applicable in three or more fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,techniques applicable in three or more fields,
tectonic deformation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tectonic deformation,
tectonics and climatic interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tectonics and climatic interactions,
tectonics and landscape evolution,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tectonics and landscape evolution,
tectonics and magmatism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tectonics and magmatism,
tectonophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tectonophysics,
temporal analysis and representation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,temporal analysis and representation,
tephrochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tephrochronology,
